----------------------  実行情報  ----------------------
実行時間＝1190秒
個体数＝1000
合計世代数＝519
------------------------  前提  ------------------------

waste=kanen

ごみ量30位以内：
札幌市 (349353), 函館市 (66649), 旭川市 (64890), 苫小牧市 (42288), 釧路市 (38335), 帯広市 (35291), 千歳市 (25770), 小樽市 (25049), 江別市 (24906), 北見市 (20809), 室蘭市 (20448), 岩見沢市 (12638), 登別市 (11426), 北広島市 (10822), 石狩市 (9341), 音更町 (7531), 稚内市 (7127), 恵庭市 (6987), 伊達市 (6907), 網走市 (6299), 滝川市 (5831), 北斗市 (5150), 七飯町 (5008), 中標津町 (4837), 根室市 (4736), 幕別町 (4414), 新ひだか町 (4277), 釧路町 (4090), 美幌町 (4063), 白老町 (3395)

焼却施設数: 19
中継施設数: 1

輸送単価＝ 300 円/t/km
--------------------  GAPlot_input  --------------------

inc_size= [1247, 264, 243, 224, 173, 125, 121, 71, 25, 20, 19, 18, 15, 5, 4, 3, 0, 0, 0]
inc_facility = ['札幌市', '旭川市', '函館市', '苫小牧市', '帯広市', '釧路市', '室蘭市', '北見市', '中標津町', '稚内市', '紋別市', '網走市', '根室市', '枝幸町', '羽幌町', '清里町', '天塩町', '豊富町', '斜里町']
inc_blocks = [['夕張市', '岩見沢市', '美唄市', '三笠市', '南幌町', '由仁町', '長沼町', '栗山町', '月形町', '札幌市', '江別市', '恵庭市', '北広島市', '石狩市', '当別町', '新篠津村', '小樽市', '喜茂別町', '京極町', '共和町', '岩内町', '泊村', '神恵内村', '積丹町', '古平町', '仁木町', '余市町', '赤井川村'], ['島牧村', '寿都町', '黒松内町', '蘭越町', 'ニセコ町', '真狩村', '留寿都村', '俱知安町', '室蘭市', '登別市', '伊達市', '豊浦町', '壮瞥町', '洞爺湖町', '長万部町'], ['千歳市', '苫小牧市', '白老町', '厚真町', '安平町', 'むかわ町', '日高町', '平取町', '新冠町', '浦河町', '新ひだか町'], ['函館市', '北斗市', '松前町', '福島町', '知内町', '木古内町', '七飯町', '鹿部町', '森町', '八雲町', '江差町', '上ノ国町', '厚沢部町', '乙部町', '今金町', 'せたな町'], ['芦別市', '赤平市', '滝川市', '砂川市', '歌志内市', '深川市', '奈井江町', '上砂川町', '浦臼町', '新十津川町', '妹背牛町', '秩父別町', '雨竜町', '北竜町', '沼田町', '旭川市', '士別市', '名寄市', '富良野市', '鷹栖町', '東神楽町', '当麻町', '比布町', '愛別町', '上川町', '東川町', '美瑛町', '上富良野町', '中富良野町', '和寒町', '剣淵町', '幌加内町'], ['留萌市', '増毛町', '小平町', '苫前町', '羽幌町', '初山別村'], ['中川町', '遠別町', '天塩町'], ['稚内市', '猿払村'], ['美深町', '音威子府村', '浜頓別町', '中頓別町', '枝幸町'], ['豊富町', '幌延町'], ['北見市', '美幌町', '津別町', '訓子府町', '置戸町', '佐呂間町', '陸別町'], ['網走市', '大空町'], ['下川町', '紋別市', '遠軽町', '湧別町', '滝上町', '興部町', '西興部村', '雄武町'], ['清里町', '小清水町'], ['斜里町'], ['様似町', 'えりも町', '南富良野町', '占冠村', '帯広市', '音更町', '士幌町', '上士幌町', '鹿追町', '新得町', '清水町', '芽室町', '中札内村', '更別村', '大樹町', '広尾町', '幕別町', '池田町', '豊頃町', '本別町', '足寄町', '浦幌町'], ['釧路市', '釧路町', '厚岸町', '標茶町', '鶴居村', '白糖町'], ['浜中町', '根室市'], ['弟子屈町', '別海町', '中標津町', '標津町', '羅臼町']]

trans_size=[0]
trans_facility = ['豊富町']
trans_blocks = [[]]

arrows = []


---------------------  コスト情報  ---------------------

==============================
Total cost: 1241957.5762505876
==============================
TC_direct: {'札幌市': 107750.56481999999, '旭川市': 42552.619679999996, '函館市': 33495.620160000006, '苫小牧市': 48106.58742, '帯広市': 25443.31968, '釧路市': 5221.74414, '室蘭市': 20651.749350000002, '北見市': 3884.2622400000005, '中標津町': 4303.57125, '稚内市': 414.44694, '紋別市': 4728.88734, '網走市': 147.4998, '根室市': 1239.6003600000001, '枝幸町': 1045.82358, '羽幌町': 1272.45615, '清里町': 226.16403000000003, '天塩町': 29.62869, '豊富町': 11.25, '斜里町': 0.0}
IC_inc: {'札幌市': 159613.1891114947, '旭川市': 47610.12317327669, '函館市': 44807.04482740549, '苫小牧市': 42283.88188243283, '帯広市': 35003.50835214785, '釧路市': 27746.089065790613, '室蘭市': 27114.20586589729, '北見市': 18430.976284856057, '中標津町': 8650.768684366207, '稚内市': 7480.976141758512, '紋別市': 7200.832989673019, '網走市': 6874.331429870022, '根室市': 5977.738680892802, '枝幸町': 2864.8282273605105, '羽幌町': 2343.3210783489885, '清里町': 1692.3279700197322, '天塩町': 240.53935274588486, '豊富町': 223.79345071050665, '斜里町': 0.0}
OC_inc: {'札幌市': 66833.21738291832, '旭川市': 56964.87608199606, '函館市': 56407.36772522112, '苫小牧市': 55611.63687040698, '帯広市': 51724.01573343067, '釧路市': 45433.20587338103, '室蘭市': 44768.76962017755, '北見市': 33706.6804923292, '中標津町': 16951.74467757078, '稚内市': 14666.030284542983, '紋別市': 14111.180441229597, '網走市': 13461.115817412458, '根室市': 11658.634045924002, '枝幸町': 5283.8584016245995, '羽幌町': 4222.047478362802, '清里町': 2918.6885183885533, '天塩町': 287.25227583165207, '豊富町': 262.9823307915868, '斜里町': 0.0}

TC_indirect: {'豊富町': 0}
IC_trans: {'豊富町': 0}
OC_trans: {'豊富町': 0}


----------------------  輸送情報  ----------------------

direct 札幌市(1247/1247) t/day → receive from: 夕張市, 岩見沢市, 美唄市, 三笠市, 南幌町, 由仁町, 長沼町, 栗山町, 月形町, 札幌市, 江別市, 恵庭市, 北広島市, 石狩市, 当別町, 新篠津村, 小樽市, 喜茂別町, 京極町, 共和町, 岩内町, 泊村, 神恵内村, 積丹町, 古平町, 仁木町, 余市町, 赤井川村
direct 旭川市(264/264) t/day → receive from: 芦別市, 赤平市, 滝川市, 砂川市, 歌志内市, 深川市, 奈井江町, 上砂川町, 浦臼町, 新十津川町, 妹背牛町, 秩父別町, 雨竜町, 北竜町, 沼田町, 旭川市, 士別市, 名寄市, 富良野市, 鷹栖町, 東神楽町, 当麻町, 比布町, 愛別町, 上川町, 東川町, 美瑛町, 上富良野町, 中富良野町, 和寒町, 剣淵町, 幌加内町
direct 函館市(243/243) t/day → receive from: 函館市, 北斗市, 松前町, 福島町, 知内町, 木古内町, 七飯町, 鹿部町, 森町, 八雲町, 江差町, 上ノ国町, 厚沢部町, 乙部町, 今金町, せたな町
direct 苫小牧市(224/224) t/day → receive from: 千歳市, 苫小牧市, 白老町, 厚真町, 安平町, むかわ町, 日高町, 平取町, 新冠町, 浦河町, 新ひだか町
direct 帯広市(173/173) t/day → receive from: 様似町, えりも町, 南富良野町, 占冠村, 帯広市, 音更町, 士幌町, 上士幌町, 鹿追町, 新得町, 清水町, 芽室町, 中札内村, 更別村, 大樹町, 広尾町, 幕別町, 池田町, 豊頃町, 本別町, 足寄町, 浦幌町
direct 釧路市(125/125) t/day → receive from: 釧路市, 釧路町, 厚岸町, 標茶町, 鶴居村, 白糖町
direct 室蘭市(121/121) t/day → receive from: 島牧村, 寿都町, 黒松内町, 蘭越町, ニセコ町, 真狩村, 留寿都村, 俱知安町, 室蘭市, 登別市, 伊達市, 豊浦町, 壮瞥町, 洞爺湖町, 長万部町
direct 北見市(71/71) t/day → receive from: 北見市, 美幌町, 津別町, 訓子府町, 置戸町, 佐呂間町, 陸別町
direct 中標津町(25/25) t/day → receive from: 弟子屈町, 別海町, 中標津町, 標津町, 羅臼町
direct 稚内市(20/20) t/day → receive from: 稚内市, 猿払村
direct 紋別市(19/19) t/day → receive from: 下川町, 紋別市, 遠軽町, 湧別町, 滝上町, 興部町, 西興部村, 雄武町
direct 網走市(18/18) t/day → receive from: 網走市, 大空町
direct 根室市(15/15) t/day → receive from: 浜中町, 根室市
direct 枝幸町(5/5) t/day → receive from: 美深町, 音威子府村, 浜頓別町, 中頓別町, 枝幸町
direct 羽幌町(4/4) t/day → receive from: 留萌市, 増毛町, 小平町, 苫前町, 羽幌町, 初山別村
direct 清里町(3/3) t/day → receive from: 清里町, 小清水町
403: neval=798{'avg': 1244860.9179843802, 'max': 1481717.131874315, 'min': 1244427.329274349} best=1241957.5762505876
404: neval=795{'avg': 1246413.119318592, 'max': 1548041.4462078998, 'min': 1244427.329274349} best=1241957.5762505876
405: neval=761{'avg': 1246142.1148443057, 'max': 1815817.6523402878, 'min': 1244427.329274349} best=1241957.5762505876
406: neval=793{'avg': 1246088.3406154246, 'max': 1561938.0848525334, 'min': 1244427.329274349} best=1241957.5762505876
407: neval=821{'avg': 1245259.0980229226, 'max': 1473854.03934537, 'min': 1244427.329274349} best=1241957.5762505876
408: neval=777{'avg': 1245940.7360317828, 'max': 1545977.095855977, 'min': 1244427.329274349} best=1241957.5762505876
409: neval=771{'avg': 1246428.5775494766, 'max': 1529509.052507516, 'min': 1244427.329274349} best=1241957.5762505876
410: neval=803{'avg': 1246134.454234654, 'max': 1582744.6605514875, 'min': 1244427.329274349} best=1241957.5762505876
411: neval=784{'avg': 1246201.6934165098, 'max': 1594435.215605739, 'min': 1244427.329274349} best=1241957.5762505876
412: neval=784{'avg': 1245970.5184176718, 'max': 1633798.055431744, 'min': 1244427.329274349} best=1241957.5762505876
413: neval=792{'avg': 1245815.1998616194, 'max': 1598805.7372735431, 'min': 1244427.329274349} best=1241957.5762505876
414: neval=776{'avg': 1246633.753933781, 'max': 2043427.1136626273, 'min': 1244427.329274349} best=1241957.5762505876
415: neval=781{'avg': 1246361.8179140596, 'max': 1609995.5237325912, 'min': 1244427.329274349} best=1241957.5762505876
416: neval=769{'avg': 1246537.1187945162, 'max': 1701292.5173213787, 'min': 1244427.329274349} best=1241957.5762505876
417: neval=820{'avg': 1245557.905207578, 'max': 1656058.1410653186, 'min': 1244427.329274349} best=1241957.5762505876
418: neval=799{'avg': 1246999.830774689, 'max': 2038267.4256027073, 'min': 1244427.329274349} best=1241957.5762505876
419: neval=778{'avg': 1245424.0995833913, 'max': 1449148.0931860623, 'min': 1244427.329274349} best=1241957.5762505876
420: neval=809{'avg': 1245797.004638994, 'max': 1693076.176908947, 'min': 1244427.329274349} best=1241957.5762505876
421: neval=773{'avg': 1245220.9747110289, 'max': 1451883.2271735088, 'min': 1244427.329274349} best=1241957.5762505876
422: neval=772{'avg': 1245050.565095749, 'max': 1598236.5447699148, 'min': 1244427.329274349} best=1241957.5762505876
423: neval=784{'avg': 1247944.67377504, 'max': 1789930.4135053605, 'min': 1244427.329274349} best=1241957.5762505876
424: neval=775{'avg': 1245421.6278647864, 'max': 1596969.941606511, 'min': 1244427.329274349} best=1241957.5762505876
425: neval=788{'avg': 1245759.0841271784, 'max': 1566796.4783057335, 'min': 1244427.329274349} best=1241957.5762505876
426: neval=787{'avg': 1246367.4626042221, 'max': 1523798.992072508, 'min': 1244427.329274349} best=1241957.5762505876
427: neval=818{'avg': 1246402.4779991168, 'max': 1858432.6482962416, 'min': 1244427.329274349} best=1241957.5762505876
428: neval=795{'avg': 1246663.4068062834, 'max': 1589353.5189893781, 'min': 1244427.329274349} best=1241957.5762505876
429: neval=795{'avg': 1245357.9957552825, 'max': 1544774.83872989, 'min': 1244427.329274349} best=1241957.5762505876
430: neval=773{'avg': 1245931.9103426514, 'max': 1838868.5538474636, 'min': 1244427.329274349} best=1241957.5762505876
431: neval=758{'avg': 1246627.6728408113, 'max': 1851326.0064184722, 'min': 1244427.329274349} best=1241957.5762505876
432: neval=763{'avg': 1245223.957035997, 'max': 1530805.6958297526, 'min': 1244427.329274349} best=1241957.5762505876
433: neval=814{'avg': 1245152.6036432565, 'max': 1526038.283559742, 'min': 1244427.329274349} best=1241957.5762505876
434: neval=781{'avg': 1245635.4725723234, 'max': 1613630.332046927, 'min': 1244427.329274349} best=1241957.5762505876
435: neval=797{'avg': 1246131.9890764724, 'max': 1599590.5142669969, 'min': 1244427.329274349} best=1241957.5762505876
436: neval=790{'avg': 1246400.8544656483, 'max': 1952074.005790948, 'min': 1244427.329274349} best=1241957.5762505876
437: neval=754{'avg': 1245019.1749021811, 'max': 1552857.3995228799, 'min': 1244427.329274349} best=1241957.5762505876
438: neval=794{'avg': 1246974.395446238, 'max': 1769217.9117784891, 'min': 1244427.329274349} best=1241957.5762505876
439: neval=782{'avg': 1246020.455969341, 'max': 1674706.3937142894, 'min': 1244427.329274349} best=1241957.5762505876
440: neval=802{'avg': 1246103.1877779276, 'max': 1529667.508905007, 'min': 1244427.329274349} best=1241957.5762505876
441: neval=801{'avg': 1245146.1081350704, 'max': 1518355.3203319004, 'min': 1244427.329274349} best=1241957.5762505876
442: neval=780{'avg': 1246006.360735677, 'max': 1532818.0841902576, 'min': 1244427.329274349} best=1241957.5762505876
443: neval=786{'avg': 1245858.4655373124, 'max': 1602072.6321964962, 'min': 1244427.329274349} best=1241957.5762505876
444: neval=786{'avg': 1246900.1920068897, 'max': 1752623.1198569753, 'min': 1244427.329274349} best=1241957.5762505876
445: neval=812{'avg': 1245060.6323389688, 'max': 1463463.9622305515, 'min': 1244427.329274349} best=1241957.5762505876
446: neval=785{'avg': 1245002.0134089345, 'max': 1491357.499389726, 'min': 1244427.329274349} best=1241957.5762505876
447: neval=801{'avg': 1245646.0708477134, 'max': 1547938.746450059, 'min': 1244427.329274349} best=1241957.5762505876
448: neval=824{'avg': 1245944.3014075174, 'max': 1574596.5952298217, 'min': 1244427.329274349} best=1241957.5762505876
449: neval=783{'avg': 1245912.046986963, 'max': 1644847.2634170738, 'min': 1244427.329274349} best=1241957.5762505876
450: neval=808{'avg': 1245778.0286762104, 'max': 1526032.4848462543, 'min': 1244427.329274349} best=1241957.5762505876
451: neval=774{'avg': 1246523.204990068, 'max': 1510794.4895932025, 'min': 1244427.329274349} best=1241957.5762505876
452: neval=805{'avg': 1245550.7990618194, 'max': 1574692.4315509112, 'min': 1244427.329274349} best=1241957.5762505876
453: neval=799{'avg': 1244650.7003103804, 'max': 1417152.1552058924, 'min': 1244427.329274349} best=1241957.5762505876
454: neval=790{'avg': 1246503.3207892326, 'max': 1625567.101891991, 'min': 1244427.329274349} best=1241957.5762505876
455: neval=766{'avg': 1246331.2710828523, 'max': 1655232.4026023867, 'min': 1244427.329274349} best=1241957.5762505876
456: neval=770{'avg': 1244614.4333391176, 'max': 1379899.8883319637, 'min': 1244427.329274349} best=1241957.5762505876
457: neval=798{'avg': 1245205.9808416953, 'max': 1443486.8741090698, 'min': 1244427.329274349} best=1241957.5762505876
458: neval=816{'avg': 1245541.041107371, 'max': 1496477.565504433, 'min': 1244427.329274349} best=1241957.5762505876
459: neval=781{'avg': 1245534.6441322255, 'max': 1524055.3028010586, 'min': 1244427.329274349} best=1241957.5762505876
460: neval=780{'avg': 1245506.3073216705, 'max': 1562727.9172546896, 'min': 1244427.329274349} best=1241957.5762505876
461: neval=771{'avg': 1245271.3251309714, 'max': 1526127.5056121703, 'min': 1244427.329274349} best=1241957.5762505876
462: neval=770{'avg': 1245558.6898172167, 'max': 1753223.113635499, 'min': 1244427.329274349} best=1241957.5762505876
463: neval=780{'avg': 1244796.9224791836, 'max': 1408754.7030259932, 'min': 1244427.329274349} best=1241957.5762505876
464: neval=805{'avg': 1245752.0864217724, 'max': 1685044.8592487248, 'min': 1244427.329274349} best=1241957.5762505876
465: neval=754{'avg': 1246513.6718294725, 'max': 1658853.315549489, 'min': 1244427.329274349} best=1241957.5762505876
466: neval=790{'avg': 1244872.5946372666, 'max': 1508875.795547708, 'min': 1244427.329274349} best=1241957.5762505876
467: neval=762{'avg': 1245806.612391662, 'max': 1553328.414215808, 'min': 1244427.329274349} best=1241957.5762505876
468: neval=775{'avg': 1247912.9597386539, 'max': 1813392.0174746192, 'min': 1244427.329274349} best=1241957.5762505876
469: neval=798{'avg': 1246111.924069453, 'max': 1580209.251158269, 'min': 1244427.329274349} best=1241957.5762505876
470: neval=788{'avg': 1245658.686738699, 'max': 1606200.9207296986, 'min': 1244427.329274349} best=1241957.5762505876
471: neval=757{'avg': 1245143.8130572503, 'max': 1497965.8012510466, 'min': 1244427.329274349} best=1241957.5762505876
472: neval=771{'avg': 1245163.5147683022, 'max': 1548114.7719271767, 'min': 1244427.329274349} best=1241957.5762505876
473: neval=805{'avg': 1245541.1617057289, 'max': 1476695.6038087055, 'min': 1244427.329274349} best=1241957.5762505876
474: neval=811{'avg': 1246389.8555043815, 'max': 1612767.694869228, 'min': 1244427.329274349} best=1241957.5762505876
475: neval=788{'avg': 1246094.4812289916, 'max': 1528442.4220670694, 'min': 1244427.329274349} best=1241957.5762505876
476: neval=804{'avg': 1245506.1103691373, 'max': 1620504.9173143064, 'min': 1244427.329274349} best=1241957.5762505876
477: neval=774{'avg': 1245585.4599211407, 'max': 1891849.8429370131, 'min': 1244427.329274349} best=1241957.5762505876
478: neval=767{'avg': 1246664.3850161883, 'max': 1880697.8239540409, 'min': 1244427.329274349} best=1241957.5762505876
479: neval=777{'avg': 1246606.0530647999, 'max': 1672544.214540586, 'min': 1244427.329274349} best=1241957.5762505876
480: neval=784{'avg': 1245602.1634078503, 'max': 1477175.5433042003, 'min': 1244427.329274349} best=1241957.5762505876
481: neval=785{'avg': 1246130.466400922, 'max': 1796162.8641495383, 'min': 1244427.329274349} best=1241957.5762505876
482: neval=762{'avg': 1245623.7073047399, 'max': 1530906.3309349713, 'min': 1244427.329274349} best=1241957.5762505876
483: neval=793{'avg': 1244937.5418849115, 'max': 1421441.8489548946, 'min': 1244427.329274349} best=1241957.5762505876
484: neval=798{'avg': 1245575.6115618811, 'max': 1446183.7472165134, 'min': 1244427.329274349} best=1241957.5762505876
485: neval=801{'avg': 1246620.8483874337, 'max': 1649696.0823944074, 'min': 1244427.329274349} best=1241957.5762505876
486: neval=805{'avg': 1246634.8609417644, 'max': 1679836.5731280488, 'min': 1244427.329274349} best=1241957.5762505876
487: neval=770{'avg': 1245717.2062256085, 'max': 1532714.168497766, 'min': 1244427.329274349} best=1241957.5762505876
488: neval=817{'avg': 1245458.1239239275, 'max': 1460349.0427914842, 'min': 1244427.329274349} best=1241957.5762505876
489: neval=807{'avg': 1245169.1256625284, 'max': 1473022.2203081453, 'min': 1244427.329274349} best=1241957.5762505876
490: neval=768{'avg': 1246149.405620484, 'max': 1689044.2610112168, 'min': 1244427.329274349} best=1241957.5762505876
491: neval=801{'avg': 1245617.2352130827, 'max': 1498697.6409974077, 'min': 1244427.329274349} best=1241957.5762505876
492: neval=802{'avg': 1246266.0303354282, 'max': 1653273.0674890676, 'min': 1244427.329274349} best=1241957.5762505876
493: neval=817{'avg': 1244883.2623891656, 'max': 1472625.4793783193, 'min': 1244427.329274349} best=1241957.5762505876
494: neval=776{'avg': 1244904.5753912115, 'max': 1445864.6085701645, 'min': 1244427.329274349} best=1241957.5762505876
495: neval=775{'avg': 1245491.431586732, 'max': 1469223.9032556287, 'min': 1244427.329274349} best=1241957.5762505876
496: neval=782{'avg': 1246007.3105470256, 'max': 1682830.1363447648, 'min': 1244427.329274349} best=1241957.5762505876
497: neval=805{'avg': 1246086.6453083057, 'max': 1573111.9908410914, 'min': 1244427.329274349} best=1241957.5762505876
498: neval=783{'avg': 1247011.727955837, 'max': 1720394.7377842253, 'min': 1244427.329274349} best=1241957.5762505876
499: neval=764{'avg': 1245123.14447054, 'max': 1526398.771344075, 'min': 1244427.329274349} best=1241957.5762505876
500: neval=771{'avg': 1245399.1858874778, 'max': 1731103.6220005208, 'min': 1244427.329274349} best=1241957.5762505876
501: neval=788{'avg': 1245088.7688465351, 'max': 1492913.4049049653, 'min': 1244427.329274349} best=1241957.5762505876
502: neval=770{'avg': 1245825.231722237, 'max': 1581107.912448049, 'min': 1244427.329274349} best=1241957.5762505876
503: neval=793{'avg': 1245660.873991333, 'max': 1575593.784377932, 'min': 1244427.329274349} best=1241957.5762505876
504: neval=795{'avg': 1245168.141181575, 'max': 1445261.8479163088, 'min': 1244427.329274349} best=1241957.5762505876
505: neval=784{'avg': 1245460.7633981074, 'max': 1560451.397845824, 'min': 1244427.329274349} best=1241957.5762505876
506: neval=789{'avg': 1246611.4853885549, 'max': 1894137.9019717192, 'min': 1244427.329274349} best=1241957.5762505876
507: neval=798{'avg': 1247493.8774926804, 'max': 1773153.0692230016, 'min': 1244427.329274349} best=1241957.5762505876
508: neval=807{'avg': 1245913.0431224375, 'max': 1734521.8620306223, 'min': 1244427.329274349} best=1241957.5762505876
509: neval=816{'avg': 1245158.1310099326, 'max': 1478305.3321299234, 'min': 1244427.329274349} best=1241957.5762505876
510: neval=803{'avg': 1245615.7187242447, 'max': 1784328.0704253083, 'min': 1244427.329274349} best=1241957.5762505876
511: neval=764{'avg': 1246583.9903799333, 'max': 2264348.078287414, 'min': 1244427.329274349} best=1241957.5762505876
512: neval=788{'avg': 1245587.515561007, 'max': 1505493.911038046, 'min': 1244427.329274349} best=1241957.5762505876
513: neval=802{'avg': 1246629.728052361, 'max': 1699868.7651897774, 'min': 1244427.329274349} best=1241957.5762505876
514: neval=781{'avg': 1245827.7413443914, 'max': 1684444.2036629808, 'min': 1244427.329274349} best=1241957.5762505876
515: neval=769{'avg': 1246140.2193310738, 'max': 1724454.977679009, 'min': 1244427.329274349} best=1241957.5762505876
516: neval=776{'avg': 1245372.3997903366, 'max': 1496407.0538670563, 'min': 1244427.329274349} best=1241957.5762505876
517: neval=814{'avg': 1245404.5922097133, 'max': 1483038.0273899026, 'min': 1244427.329274349} best=1241957.5762505876
518: neval=778{'avg': 1246810.0381019514, 'max': 1838015.3291024643, 'min': 1244427.329274349} best=1241957.5762505876
